SMILES,%F,SOURCE
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.0,Hou
COCCc1ccc(OCC(O)CNC(C)C)cc1,38.0,Kim
CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,17.5,Hou
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,40.0,Kim
O=C(O)[C@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,91.0,chembl25
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@H]1SC(C)(C)[C@@H]2C(=O)O,67.5,Hou
CCC[C@@H](C)C1(CC)C(=O)NC(=O)NC1=O,80.0,Hou
CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,99.0,Kim
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],50.0,chembl25
CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,18.0,chembl25
NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)CCC2N)C(O)C1OC1OC(CO)C(O)C(N)C1O,0.0,Kim
CCCCS(=O)(=O)NC(Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,0.0,Kim
CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,67.5,chembl25
C[C@@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,85.0,Hou
CCOc1ccccc1OC[C@H]1CNCCO1,85.0,chembl25
CC(C)C[C@H](N)C(=O)O,100.0,chembl25
CCN(CC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12,80.0,chembl25
CC1(C)S[C@H]2[C@@H](NC(=O)COc3ccccc3)C(=O)N2[C@@H]1C(=O)O,60.0,Hou
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,42.0,Hou
Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,68.0,Hou
Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,70.0,Hou
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,2.7,Hou
N[C@H](Cc1ccc(O)c(O)c1)C(=O)O,41.0,Hou
CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1,60.0,chembl25
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,6.5,Hou
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN[C@H](C)C3)c(F)c21,97.0,Hou
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,90.0,Hou
